epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,11747.1,0.08662,0.2926,0.91108,0.99593,0.99472,0.99483,0.99481,0.1437,0.17311,0.21298,0.0004258,0.0004258,0.0004258
60,11936.8,0.08656,0.28961,0.91072,0.99611,0.99482,0.99488,0.99487,0.1378,0.16992,0.20616,0.0004159,0.0004159,0.0004159
61,12128.9,0.08686,0.29287,0.91121,0.99679,0.99481,0.99484,0.99484,0.13703,0.16541,0.20603,0.000406,0.000406,0.000406
62,12322.7,0.08313,0.29268,0.9102,0.99663,0.99452,0.99485,0.99484,0.14064,0.16551,0.20972,0.0003961,0.0003961,0.0003961
63,12518.5,inf,0.28619,0.9099,0.99683,0.99507,0.99486,0.99486,0.14609,0.17064,0.21531,0.0003862,0.0003862,0.0003862
64,12708.2,inf,0.28653,0.9099,0.99689,0.99502,0.99485,0.99483,0.14452,0.16362,0.2118,0.0003763,0.0003763,0.0003763
65,12900,0.08471,0.28921,0.91029,0.99646,0.99637,0.99489,0.99489,0.14552,0.15667,0.21095,0.0003664,0.0003664,0.0003664
66,13090.9,0.08244,0.28377,0.90997,0.99645,0.99639,0.9949,0.99489,0.14543,0.1549,0.20881,0.0003565,0.0003565,0.0003565
67,13281.9,0.08144,0.27954,0.90994,0.99641,0.99631,0.99491,0.99489,0.14432,0.1505,0.20594,0.0003466,0.0003466,0.0003466
68,13473.5,0.08092,0.27682,0.91015,0.99644,0.9965,0.99491,0.99489,0.14641,0.14935,0.20646,0.0003367,0.0003367,0.0003367
69,13663.7,0.08128,0.27532,0.91058,0.99612,0.9965,0.9949,0.99488,0.14589,0.14607,0.20519,0.0003268,0.0003268,0.0003268
70,13853.1,0.079,0.27442,0.90907,0.9959,0.99625,0.9949,0.99489,0.14475,0.14485,0.20275,0.0003169,0.0003169,0.0003169
71,14046.3,0.07856,0.26973,0.90732,0.99566,0.99625,0.9949,0.99489,0.14446,0.14605,0.20162,0.000307,0.000307,0.000307
72,14239.2,0.0798,0.26711,0.90829,0.99592,0.99643,0.9949,0.99489,0.14354,0.14715,0.20026,0.0002971,0.0002971,0.0002971
73,14432.9,inf,0.2699,0.90795,0.99611,0.99627,0.9949,0.99489,0.14141,0.14895,0.19752,0.0002872,0.0002872,0.0002872
74,14623.3,inf,0.26156,0.90654,0.99644,0.99671,0.99491,0.99491,0.13881,0.14839,0.19422,0.0002773,0.0002773,0.0002773
